prod_A,prod_B,p_a_b,p_a,transacciones_totales,p_b,support_a_b,support_a,support_b,confidence,lift,sales_a,sales_b,rank_a,rank_b
Saree,Phones,31,156,500,71,0.062,0.312,0.142,0.198717949,1.399422174,53511,46119,3,4
Trousers,Phones,9,37,500,71,0.018,0.074,0.142,0.243243243,1.712980586,30039,46119,7,4
Chairs,Phones,8,64,500,71,0.016,0.128,0.142,0.125,0.88028169,34222,46119,6,4
Kurti,Phones,10,41,500,71,0.02,0.082,0.142,0.243902439,1.71762281,3361,46119,15,4
T-shirt,Phones,13,70,500,71,0.026,0.14,0.142,0.185714286,1.307847082,7382,46119,14,4
Shirt,Phones,16,66,500,71,0.032,0.132,0.142,0.242424242,1.707212975,7555,46119,13,4
Leggings,Phones,9,49,500,71,0.018,0.098,0.142,0.183673469,1.293475137,2106,46119,16,4
Tables,Phones,2,16,500,71,0.004,0.032,0.142,0.125,0.88028169,22614,46119,8,4
Printers,Phones,16,67,500,71,0.032,0.134,0.142,0.23880597,1.681732184,58252,46119,1,4
Accessories,Phones,18,65,500,71,0.036,0.13,0.142,0.276923077,1.950162514,21728,46119,9,4
Furnishings,Phones,9,66,500,71,0.018,0.132,0.142,0.136363636,0.960307298,13484,46119,12,4
Skirt,Phones,9,56,500,71,0.018,0.112,0.142,0.160714286,1.131790744,1946,46119,17,4
Trousers,Saree,15,37,500,156,0.03,0.074,0.312,0.405405405,1.299376299,30039,53511,7,3
Chairs,Saree,26,64,500,156,0.052,0.128,0.312,0.40625,1.302083333,34222,53511,6,3
Kurti,Saree,16,41,500,156,0.032,0.082,0.312,0.390243902,1.250781739,3361,53511,15,3
T-shirt,Saree,28,70,500,156,0.056,0.14,0.312,0.4,1.282051282,7382,53511,14,3
Shirt,Saree,27,66,500,156,0.054,0.132,0.312,0.409090909,1.311188811,7555,53511,13,3
Leggings,Saree,19,49,500,156,0.038,0.098,0.312,0.387755102,1.242804814,2106,53511,16,3
Tables,Saree,5,16,500,156,0.01,0.032,0.312,0.3125,1.001602564,22614,53511,8,3
Printers,Saree,27,67,500,156,0.054,0.134,0.312,0.402985075,1.291618829,58252,53511,1,3
Accessories,Saree,31,65,500,156,0.062,0.13,0.312,0.476923077,1.528599606,21728,53511,9,3
Furnishings,Saree,21,66,500,156,0.042,0.132,0.312,0.318181818,1.01981352,13484,53511,12,3
Skirt,Saree,28,56,500,156,0.056,0.112,0.312,0.5,1.602564103,1946,53511,17,3
Chairs,Trousers,10,64,500,37,0.02,0.128,0.074,0.15625,2.111486486,34222,30039,6,7
Kurti,Trousers,4,41,500,37,0.008,0.082,0.074,0.097560976,1.318391562,3361,30039,15,7
T-shirt,Trousers,5,70,500,37,0.01,0.14,0.074,0.071428571,0.965250965,7382,30039,14,7
Shirt,Trousers,5,66,500,37,0.01,0.132,0.074,0.075757576,1.023751024,7555,30039,13,7
Leggings,Trousers,4,49,500,37,0.008,0.098,0.074,0.081632653,1.10314396,2106,30039,16,7
Tables,Trousers,3,16,500,37,0.006,0.032,0.074,0.1875,2.533783784,22614,30039,8,7
Printers,Trousers,6,67,500,37,0.012,0.134,0.074,0.089552239,1.210165389,58252,30039,1,7
Accessories,Trousers,10,65,500,37,0.02,0.13,0.074,0.153846154,2.079002079,21728,30039,9,7
Furnishings,Trousers,3,66,500,37,0.006,0.132,0.074,0.045454545,0.614250614,13484,30039,12,7
Skirt,Trousers,6,56,500,37,0.012,0.112,0.074,0.107142857,1.447876448,1946,30039,17,7
Kurti,Chairs,3,41,500,64,0.006,0.082,0.128,0.073170732,0.571646341,3361,34222,15,6
T-shirt,Chairs,8,70,500,64,0.016,0.14,0.128,0.114285714,0.892857143,7382,34222,14,6
Shirt,Chairs,11,66,500,64,0.022,0.132,0.128,0.166666667,1.302083333,7555,34222,13,6
Leggings,Chairs,6,49,500,64,0.012,0.098,0.128,0.12244898,0.956632653,2106,34222,16,6
Tables,Chairs,5,16,500,64,0.01,0.032,0.128,0.3125,2.44140625,22614,34222,8,6
Printers,Chairs,8,67,500,64,0.016,0.134,0.128,0.119402985,0.932835821,58252,34222,1,6
Accessories,Chairs,8,65,500,64,0.016,0.13,0.128,0.123076923,0.961538462,21728,34222,9,6
Furnishings,Chairs,6,66,500,64,0.012,0.132,0.128,0.090909091,0.710227273,13484,34222,12,6
Skirt,Chairs,12,56,500,64,0.024,0.112,0.128,0.214285714,1.674107143,1946,34222,17,6
T-shirt,Kurti,10,70,500,41,0.02,0.14,0.082,0.142857143,1.742160279,7382,3361,14,15
Shirt,Kurti,8,66,500,41,0.016,0.132,0.082,0.121212121,1.4781966,7555,3361,13,15
Leggings,Kurti,3,49,500,41,0.006,0.098,0.082,0.06122449,0.746640119,2106,3361,16,15
Tables,Kurti,1,16,500,41,0.002,0.032,0.082,0.0625,0.762195122,22614,3361,8,15
Printers,Kurti,8,67,500,41,0.016,0.134,0.082,0.119402985,1.456133964,58252,3361,1,15
Accessories,Kurti,7,65,500,41,0.014,0.13,0.082,0.107692308,1.313320826,21728,3361,9,15
Furnishings,Kurti,6,66,500,41,0.012,0.132,0.082,0.090909091,1.10864745,13484,3361,12,15
Skirt,Kurti,3,56,500,41,0.006,0.112,0.082,0.053571429,0.653310105,1946,3361,17,15
Shirt,T-shirt,11,66,500,70,0.022,0.132,0.14,0.166666667,1.19047619,7555,7382,13,14
Leggings,T-shirt,11,49,500,70,0.022,0.098,0.14,0.224489796,1.603498542,2106,7382,16,14
Tables,T-shirt,2,16,500,70,0.004,0.032,0.14,0.125,0.892857143,22614,7382,8,14
Printers,T-shirt,17,67,500,70,0.034,0.134,0.14,0.253731343,1.812366738,58252,7382,1,14
Accessories,T-shirt,12,65,500,70,0.024,0.13,0.14,0.184615385,1.318681319,21728,7382,9,14
Furnishings,T-shirt,10,66,500,70,0.02,0.132,0.14,0.151515152,1.082251082,13484,7382,12,14
Skirt,T-shirt,9,56,500,70,0.018,0.112,0.14,0.160714286,1.147959184,1946,7382,17,14
Leggings,Shirt,11,49,500,66,0.022,0.098,0.132,0.224489796,1.700680272,2106,7555,16,13
Tables,Shirt,4,16,500,66,0.008,0.032,0.132,0.25,1.893939394,22614,7555,8,13
Printers,Shirt,10,67,500,66,0.02,0.134,0.132,0.149253731,1.130710086,58252,7555,1,13
Accessories,Shirt,14,65,500,66,0.028,0.13,0.132,0.215384615,1.631701632,21728,7555,9,13
Furnishings,Shirt,11,66,500,66,0.022,0.132,0.132,0.166666667,1.262626263,13484,7555,12,13
Skirt,Shirt,10,56,500,66,0.02,0.112,0.132,0.178571429,1.352813853,1946,7555,17,13
Tables,Leggings,1,16,500,49,0.002,0.032,0.098,0.0625,0.637755102,22614,2106,8,16
Printers,Leggings,8,67,500,49,0.016,0.134,0.098,0.119402985,1.218397807,58252,2106,1,16
Accessories,Leggings,9,65,500,49,0.018,0.13,0.098,0.138461538,1.412872841,21728,2106,9,16
Furnishings,Leggings,9,66,500,49,0.018,0.132,0.098,0.136363636,1.391465677,13484,2106,12,16
Skirt,Leggings,7,56,500,49,0.014,0.112,0.098,0.125,1.275510204,1946,2106,17,16
Printers,Tables,4,67,500,16,0.008,0.134,0.032,0.059701493,1.865671642,58252,22614,1,8
Accessories,Tables,3,65,500,16,0.006,0.13,0.032,0.046153846,1.442307692,21728,22614,9,8
Furnishings,Tables,2,66,500,16,0.004,0.132,0.032,0.03030303,0.946969697,13484,22614,12,8
Skirt,Tables,2,56,500,16,0.004,0.112,0.032,0.035714286,1.116071429,1946,22614,17,8
Accessories,Printers,13,65,500,67,0.026,0.13,0.134,0.2,1.492537313,21728,58252,9,1
Furnishings,Printers,10,66,500,67,0.02,0.132,0.134,0.151515152,1.130710086,13484,58252,12,1
Skirt,Printers,9,56,500,67,0.018,0.112,0.134,0.160714286,1.199360341,1946,58252,17,1
Furnishings,Accessories,9,66,500,65,0.018,0.132,0.13,0.136363636,1.048951049,13484,21728,12,9
Skirt,Accessories,11,56,500,65,0.022,0.112,0.13,0.196428571,1.510989011,1946,21728,17,9
Skirt,Furnishings,10,56,500,66,0.02,0.112,0.132,0.178571429,1.352813853,1946,13484,17,12
